"111256";"Politické systémy";"Vít Hloušek a kol.";"Barrister & Principal";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111256.jpg";"0";"Co je víceúrovňové vládnutí? K čemu může vést určitý volební systém? Jak nahlížet na země, jejichž vůdcové mají plná ústa demokracie, ale férovost voleb v nich nemá místo? Na tyto otázky - a řadu dalších - odpovídá tato kniha."
"111257";"Jak si lidé hrají";"Eric Berne";"Portál";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111257.jpg";"0";"Publikace se stala na dlouhou dobu bestsellerem, který autorovi přinesl slávu a uznání. Kniha jednoduše předkládá příklady z každodenního života. Ukazuje způsoby, jak jsou lidé vtaženi do „hry“, kterou právě hrají..."
"111258";"Time to Talk 2 - CD Audio";;"Polyglot";"0000";"http://www.martinus.sk/data/tovar/_m/111/m111258.jpg";"0";"Pět CD namluvených rodilými mluvčími, které doplňují učebnici, jsou výsledkem práce anglických lektorů – rodilých mluvčí, kteří v nahrávkách simulují reálné životní situace..."
"111259";"Time to Talk 1 - CD audio";;"Polyglot";"0000";"http://www.martinus.sk/data/tovar/_m/111/m111259.jpg";"0";"Čtyři CD namluvené rodilými mluvčími, které doplňují učebnici, jsou výsledkem práce anglických lektorů – rodilých mluvčí, kteří v nahrávkách simulují reálné životní situace..."
"111260";"The Significance of the Frontier in American History";"Frederick Turner";"Penguin Books";"2008";"http://www.martinus.sk/data/tovar/_m/111/m111260.jpg";"0";"This hugely influential work marked a turning point in US history and culture, arguing that the nation’s expansion into the Great West was directly linked to its unique spirit..."
"111261";"Transformační systemická terapie";"John Banmen a kol.";"Institut V. Satirové";"2009";"http://www.martinus.sk/data/tovar/_m/111/m111261.jpg";"0";"Poslední publikace autorů věnujících se Modelu růstu (Transformační systemické terapii) v níž John Banmen a jeho kolegové nabízejí pohled na tento terapeutický směr v 21. století."
"111262";"The Frontier in American History";"Frederick Turner";"Dover Publications";"2010";"http://www.martinus.sk/data/tovar/_m/111/m111262.jpg";"0";"This 1893 survey ranks among the most influential and important books about the impact of frontier life on a transplanted civilization..."
"111263";"Acta Commeniana 24";;"Filosofia";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111263.jpg";"0";"Svazek obsahuje studie věnované rozboru studií předbělohorské šlechty na školách Jednoty bratrské, výuce na reformovaném brémském gymnáziu, analýze katolických pohřebních kázání z přelomu 16. a 17. století, Komenského polským kontaktům..."
"111264";"Korektiv Masarykovy filosofie";"Zdeněk Novotný";"Filosofia";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111264.jpg";"0";"T. G. Masaryk je všeobecně uznáván jako politik a státník, avšak jako filosof je považován za prakticky zaměřeného eklektika..."
"111265";"Patologie rozumu";"Alex Honneth";"Filosofia";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111265.jpg";"0";"Kniha jednoho z nejvýznamnějších kritických teoretiků současné doby Axela Honnetha překládá rozbory zásadních pojmů a autorů Frankfurtské školy od jejího založení až po současnost. Práce je důležitým příspěvkem k sociální kritice společnosti."
